NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-22T20:16:00+00:00,2026-07-22T23:14:00+00:00,77.951205,77.526004,1000.0,-5.4547,,stop,178
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-23T00:06:00+00:00,2026-07-23T01:26:00+00:00,78.341712,77.948818,1000.0,-5.0151,,stop,80
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-23T09:06:00+00:00,2026-07-23T10:00:00+00:00,77.650815,77.357263,1000.0,-3.7804,,stop,54
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-23T10:31:00+00:00,2026-07-23T10:53:00+00:00,77.851075,77.60149,1000.0,-3.2059,,stop,22
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-23T11:16:00+00:00,2026-07-23T11:17:00+00:00,77.951205,77.702917,1000.0,-3.1852,,stop,1
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-23T20:06:00+00:00,2026-07-24T00:04:00+00:00,76.038722,75.665943,1000.0,-4.9025,,stop,238
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-24T06:21:00+00:00,2026-07-24T06:27:00+00:00,76.048735,75.765826,1000.0,-3.7201,,stop,6
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-24T07:11:00+00:00,2026-07-24T07:28:00+00:00,76.359138,76.004489,1000.0,-4.6445,,stop,17
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-25T00:31:00+00:00,2026-07-25T00:43:00+00:00,74.146265,73.921471,1000.0,-3.0318,,stop,12
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-25T09:31:00+00:00,2026-07-25T09:33:00+00:00,74.126239,73.898617,1000.0,-3.0707,,stop,2
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-25T13:46:00+00:00,2026-07-25T13:47:00+00:00,74.256408,74.040031,1000.0,-2.9139,,stop,1
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-25T16:41:00+00:00,2026-07-26T00:34:00+00:00,74.426629,74.712827,1000.0,3.8454,,stop,473
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T00:11:00+00:00,2026-07-26T04:08:00+00:00,74.706993,74.892233,1000.0,2.4796,,stop,237
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T00:21:00+00:00,2026-07-26T00:39:00+00:00,74.857188,74.612922,1000.0,-3.2631,,stop,18
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T04:06:00+00:00,2026-07-26T04:07:00+00:00,75.217656,74.937254,1000.0,-3.7279,,stop,1
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T09:06:00+00:00,2026-07-26T09:06:00+00:00,75.207643,74.987176,1000.0,-2.9314,,stop,0
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T09:41:00+00:00,2026-07-26T09:44:00+00:00,75.327799,75.062947,1000.0,-3.516,,stop,3
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T14:06:00+00:00,2026-07-26T14:15:00+00:00,75.267721,74.990107,1000.0,-3.6884,,stop,9
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T15:41:00+00:00,2026-07-26T16:34:00+00:00,75.457968,75.739431,1000.0,3.7301,,stop,53
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T16:31:00+00:00,2026-07-26T16:57:00+00:00,75.79841,75.441637,1000.0,-4.7069,,stop,26
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T21:11:00+00:00,2026-07-26T21:11:00+00:00,75.568111,75.370002,1000.0,-2.6216,,stop,0
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T21:26:00+00:00,2026-07-26T21:32:00+00:00,75.708293,75.480041,1000.0,-3.0149,,stop,6
