symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
XLMUSDT,0.4,1.0,10,549.9374372853708,88,34.09,1.2310303703580172
XLMUSDT,0.4,1.0,20,713.6044114220012,71,35.21,1.3657419075396433
XLMUSDT,0.4,1.0,50,795.2459187092849,42,30.95,1.6195037108559853
XLMUSDT,0.5,0.6,10,-418.20095006791706,97,28.87,0.8509903382197236
XLMUSDT,0.5,0.6,20,69.1234044220262,69,31.88,1.0344409977984743
XLMUSDT,0.5,0.6,50,436.0470064597001,38,31.58,1.3586889032074785
XLMUSDT,0.5,0.8,10,-76.8070578314425,86,31.4,0.9684506788556907
XLMUSDT,0.5,0.8,20,198.8258696967378,65,33.85,1.105373635049278
XLMUSDT,0.5,0.8,50,315.8856879776106,38,28.95,1.252022858796083
XLMUSDT,0.5,1.0,10,42.21900411241424,77,32.47,1.0191137779041226
XLMUSDT,0.5,1.0,20,280.5660474994483,60,35.0,1.1594832556294463
XLMUSDT,0.5,1.0,50,423.80604013336074,35,31.43,1.369980988621414
XLMUSDT,0.6,0.6,10,166.6114460259721,78,30.77,1.082134511164963
XLMUSDT,0.6,0.6,20,507.83516137004403,56,33.93,1.3589279560140382
XLMUSDT,0.6,0.6,50,889.8138716421811,29,37.93,2.2992586426885926
XLMUSDT,0.6,0.8,10,484.01357547387784,68,33.82,1.2901043134858086
XLMUSDT,0.6,0.8,20,592.757919432504,53,35.85,1.4489094904770916
XLMUSDT,0.6,0.8,50,788.7151929341305,29,34.48,2.0915043570470297
XLMUSDT,0.6,1.0,10,655.9290230590668,60,36.67,1.453596797470726
XLMUSDT,0.6,1.0,20,621.9961631568451,50,36.0,1.4994766898673708
XLMUSDT,0.6,1.0,50,871.5491200287502,27,37.04,2.362304856634746
LINKUSDT,0.4,0.6,10,929.0901174693694,129,37.98,1.2209845825634926
LINKUSDT,0.4,0.6,20,615.7317594933786,92,38.04,1.2122625308004626
LINKUSDT,0.4,0.6,50,838.6335163560777,55,40.0,1.4958330970103946
LINKUSDT,0.4,0.8,10,857.42743252314,122,37.7,1.2152743760223093
LINKUSDT,0.4,0.8,20,653.6161133796331,89,38.2,1.2354390576633625
LINKUSDT,0.4,0.8,50,752.3811170621932,54,38.89,1.4449708666608876
LINKUSDT,0.4,1.0,10,625.9019742929819,104,38.46,1.183614029849939
LINKUSDT,0.4,1.0,20,359.8988535334491,81,37.04,1.1367350265503386
LINKUSDT,0.4,1.0,50,637.7874208260428,50,38.0,1.4016807108044207
